25.0000000 -112.8647460        Polygon of outer stratum for STAR surveys 1998-2000
25.0000000 -120.0000000        (excludes coastal strip)
 5.0000000 -120.0000000
-10.361169  -79.0809344
-10.372100  -79.0787610
-10.383031  -79.0760607
-10.393981  -79.0722131
-10.404891  -79.0681873
-10.407522  -79.0670559
-10.415821  -79.0634867
-10.426751  -79.0574429
-10.437679  -79.0494228
-10.479583  -79.0166702
-10.571513  -78.9179030
-10.634703  -78.8500137
-10.670286  -78.8055598
-10.678073  -78.7943869
-10.682964  -78.7833328
-10.684061  -78.7783736
-10.683770  -78.7722219
-10.683242  -78.7664293
-10.682071  -78.7611109
-10.682377  -78.7544384
-10.682940  -78.7500000
-10.688935  -78.7404595
-10.690199  -78.7388891
-10.732985  -78.6944504
-10.867454  -78.5833435
-10.885425  -78.5711309
-10.911207  -78.5540405
-10.918511  -78.5496548
-11.130029  -78.4547042
-11.216448  -78.4166718
-11.381981  -78.3573284
-11.415653  -78.3459247
-11.419660  -78.3445137
-11.423687  -78.3430088
-11.430994  -78.3389002
-11.474117  -78.3024586
-11.506794  -78.2718551
-11.539460  -78.2651208
-11.686532  -78.2001317
-11.735373  -78.1680799
-11.782872  -78.1318467
-11.811524  -78.0961084
-11.841208  -78.0581125
-11.844154  -78.0516847
-11.845117  -78.0490267
-11.848320  -78.0388972
-11.850256  -78.0326613
-11.851539  -78.0277837
-11.854219  -78.0174990
-11.859022  -77.9985274
-12.137651  -77.7733212
-12.164331  -77.7328435
-12.181103  -77.7151089
-12.210960  -77.6861316
-12.259363  -77.6500015
-12.360248  -77.6833420
-12.364091  -77.6960962
-12.368964  -77.7055588
-12.375050  -77.7166672
-12.376554  -77.7188438
-12.441670  -77.7913437
-12.445994  -77.7944463
-12.452522  -77.7986036
-12.457637  -77.7996854
-12.463372  -77.8000803
-12.485074  -77.8003487
-12.495923  -77.7977073
-12.497838  -77.7964081
-12.500369  -77.7944463
-12.503357  -77.7909483
-12.508009  -77.7846009
-12.508919  -77.7833328
-12.565085  -77.6833420
-12.570950  -77.6500015
-12.571857  -77.6463810
-12.574200  -77.6388906
-12.578383  -77.6277796
-12.583078  -77.6166687
-12.586874  -77.6098323
-12.589357  -77.6055603
-12.591054  -77.6030064
-12.593548  -77.6000025
-12.596635  -77.5966357
-18.000000  -83.0000000
-18.000000  -90.0000000
-5.0000000 -115.0000000
-5.0000000 -127.0000000
 1.5000000 -130.5000000
 7.0000000 -153.0000000
10.0000000 -153.0000000
18.0000000 -128.0000000
30.5419998 -121.8659973
30.8800659 -120.0000000
31.1327991 -118.6050034
32.6268997 -117.8249969
32.5895004 -117.4629974
32.5824952 -117.4189422
32.5481873 -117.4104759
32.5200844 -117.4054371
32.4919701 -117.4022470
32.4719778 -117.4070334
32.3901593 -117.3473429
32.3711662 -117.3518143
32.3388443 -117.3442078
32.3155098 -117.3257599
32.2970161 -117.3403778
32.2646675 -117.3479843
32.2276611 -117.3379059
32.2154846 -117.3309021
32.1926880 -117.3116989
32.1743431 -117.2792587
32.1706429 -117.2572861
32.1513329 -117.2601471
32.1189308 -117.2525406
32.0914536 -117.2308655
32.0730896 -117.1984253
32.0685806 -117.1716766
32.0158203 -117.1176436
32.0124965 -117.1166992
32.0120473 -117.1137795
31.8827927 -116.9814068
31.8641442 -116.9692746
31.8596001 -116.9726791
31.7951202 -117.0001755
31.7661667 -117.0061493
31.7336292 -116.9985428
31.7060375 -116.9768677
31.6875954 -116.9444275
31.6867140 -116.9392212
31.6160583 -116.8977940
31.5296254 -116.8485598
31.5024357 -116.8365525
31.4876428 -116.8340215
31.4455585 -116.8322798
31.3920300 -116.8499985
31.3505093 -116.8613325
31.2462654 -116.8716663
31.2177486 -116.8712185
31.1899350 -116.8508174
31.1887584 -116.8494436
31.1752184 -116.8167038
31.1892338 -116.8063940
31.2086665 -116.8060652
31.2462654 -116.8034545
31.2609181 -116.7833023
31.2331616 -116.7320006
31.2243961 -116.7166977
31.2177486 -116.7119942
31.0931118 -116.6289829
31.0266628 -116.5934700
30.7956184 -116.4908668
30.7764415 -116.5352549
30.7683122 -116.5741937
30.7302017 -116.5500031
30.6218147 -116.4778695
30.5967223 -116.3929358
30.5977706 -116.3499985
30.5884457 -116.3268111
30.5829010 -116.3167038
30.5770340 -116.3118194
30.4483604 -116.2638779
30.4416828 -116.2610397
30.4366665 -116.2571487
30.1996803 -116.2181549
30.1787605 -116.2115402
30.1507149 -116.1898651
30.1421127 -116.1749725
30.1158104 -116.1722641
30.0903988 -116.1650467
30.0623283 -116.1433716
30.0508379 -116.1235007
30.0416298 -116.1297362
30.0314241 -116.1382257
30.0242016 -116.1500015
30.0127678 -116.1734902
30.0081357 -116.1779541
29.9838982 -116.1814776
29.9258019 -116.1500015
29.9098049 -116.1355150
29.8983030 -116.1166992
29.9195917 -116.0424670
29.9261303 -116.0350597
29.8683319 -115.9840191
29.8672049 -115.9833714
29.8610115 -115.9855423
29.7583618 -116.0092087
29.7413330 -116.0111465
29.7367001 -116.0100861
29.7317390 -116.0111847
29.7153339 -116.0129852
29.6820965 -116.0053787
29.6539116 -115.9837036
29.6451817 -115.9686737
29.6365547 -115.9548721
29.6248779 -115.9278717
29.6225758 -115.9166031
29.6190453 -115.9110565
29.5806960 -115.8260957
29.5145527 -115.7905140
29.2884712 -115.6648394
29.2632843 -115.6500015
29.1136100 -115.5500031
29.0339297 -115.4918816
28.9872146 -115.4499969
28.9681244 -115.4365306
28.9556701 -115.4309171
28.9389534 -115.4296141
28.9216813 -115.4302871
28.8108856 -115.5167007
28.8016541 -115.5265874
28.7637520 -115.6004624
28.7594173 -115.6166992
28.7605188 -115.6463176
28.7582163 -115.6563073
28.7501609 -115.6832962
28.7284685 -115.7500000
28.7052879 -115.7633318
28.3831501 -115.7569807
28.2364044 -115.7469827
28.0011787 -115.6973069
27.9236841 -115.6289735
27.7359371 -115.4497089
27.6981229 -115.3926818
27.6515740 -115.3167038
27.6106911 -115.1752440
27.6005587 -115.1500015
27.5827054 -115.1103829
27.4996204 -115.0480302
27.4700470 -115.0487430
27.4490937 -115.0597140
27.4404659 -115.0724541
27.4125825 -115.0813769
27.2654279 -114.9470399
27.2627964 -114.9425056
27.2357010 -114.8833008
27.2371532 -114.8499985
27.2423460 -114.8270251
27.2426058 -114.8167038
27.2416851 -114.8070941
27.2262300 -114.7833023
27.1570163 -114.6832962
27.1078274 -114.6242086
27.0576687 -114.5500031
