Island,lat,lon
OU,21.836958,-157.829643
OU,21.836819,-157.829494
OU,21.835704,-157.828301
OU,21.835564,-157.828153
OU,21.835283,-157.827856
OU,21.835143,-157.827708
OU,21.834579,-157.827118
OU,21.834438,-157.826971
OU,21.834154,-157.826678
OU,21.834012,-157.826532
OU,21.832873,-157.825366
OU,21.83273,-157.82522
OU,21.832443,-157.82493
OU,21.8323,-157.824786
OU,21.831833,-157.824319
OU,21.831731,-157.824206
OU,21.829711,-157.821991
OU,21.82946,-157.821719
OU,21.828957,-157.821177
OU,21.828704,-157.820908
OU,21.827686,-157.819836
OU,21.827431,-157.819569
OU,21.826917,-157.819038
OU,21.826659,-157.818774
OU,21.825602,-157.817703
OU,21.825464,-157.817564
OU,21.82519,-157.817289
OU,21.825052,-157.817152
OU,21.8245,-157.816604
OU,21.824361,-157.816467
OU,21.824084,-157.816194
OU,21.823945,-157.816059
OU,21.82284,-157.814985
OU,21.822611,-157.814763
OU,21.82249,-157.814646
OU,21.822248,-157.814412
OU,21.822126,-157.814296
OU,21.821639,-157.813831
OU,21.821517,-157.813715
OU,21.821273,-157.813484
OU,21.82115,-157.813368
OU,21.819928,-157.812222
OU,21.819707,-157.812016
OU,21.819337,-157.811674
OU,21.819115,-157.811469
OU,21.818449,-157.810858
OU,21.81823,-157.810658
OU,21.817865,-157.810327
OU,21.817688,-157.810167
OU,21.817592,-157.810081
OU,21.817422,-157.809928
OU,21.817153,-157.809689
OU,21.816993,-157.809547
OU,21.816522,-157.809131
OU,21.816365,-157.808993
OU,21.816101,-157.808761
OU,21.815927,-157.808609
OU,21.815619,-157.808342
OU,21.815339,-157.808099
OU,21.815112,-157.807881
OU,21.814206,-157.807013
OU,21.814006,-157.806823
OU,21.813747,-157.806549
OU,21.813518,-157.806307
OU,21.813056,-157.805827
OU,21.812825,-157.805588
OU,21.811685,-157.804422
OU,21.811542,-157.804276
OU,21.811256,-157.803986
OU,21.811113,-157.803842
OU,21.810537,-157.803265
OU,21.810393,-157.803122
OU,21.810103,-157.802835
OU,21.809958,-157.802692
OU,21.808795,-157.801553
OU,21.808649,-157.801411
OU,21.808357,-157.801128
OU,21.808211,-157.800987
OU,21.807623,-157.800424
OU,21.807476,-157.800284
OU,21.807181,-157.800004
OU,21.807033,-157.799865
OU,21.805811,-157.798719
OU,21.80559,-157.798513
OU,21.80522,-157.798171
OU,21.804998,-157.797966
OU,21.804332,-157.797355
OU,21.804112,-157.797155
OU,21.803783,-157.796856
OU,21.803684,-157.796767
OU,21.803479,-157.796582
OU,21.803365,-157.79648
OU,21.803062,-157.796209
OU,21.802559,-157.795764
OU,21.802226,-157.795471
OU,21.801443,-157.794785
OU,21.801194,-157.794568
OU,21.80078,-157.79421
OU,21.800532,-157.793996
OU,21.799784,-157.793357
OU,21.799534,-157.793145
OU,21.799116,-157.792792
OU,21.798865,-157.792581
OU,21.79811,-157.791951
OU,21.797858,-157.791742
OU,21.797436,-157.791395
OU,21.797183,-157.791187
OU,21.796421,-157.790567
OU,21.796166,-157.790361
OU,21.795783,-157.790053
OU,21.795663,-157.789957
OU,21.795284,-157.789592
OU,21.795138,-157.78945
OU,21.794846,-157.789167
OU,21.794699,-157.789026
OU,21.794112,-157.788463
OU,21.793965,-157.788323
OU,21.79367,-157.788043
OU,21.793522,-157.787904
OU,21.792299,-157.786758
OU,21.792078,-157.786552
OU,21.791709,-157.78621
OU,21.791487,-157.786005
OU,21.79082,-157.785393
OU,21.790601,-157.785194
OU,21.790236,-157.784863
OU,21.790027,-157.784674
OU,21.789909,-157.784568
OU,21.789708,-157.784389
OU,21.789317,-157.784042
OU,21.789083,-157.783836
OU,21.788391,-157.783228
OU,21.788159,-157.783027
OU,21.787773,-157.782692
OU,21.787541,-157.782491
OU,21.786272,-157.781403
OU,21.786118,-157.781272
OU,21.785809,-157.78101
OU,21.785654,-157.780879
OU,21.785034,-157.780359
OU,21.784879,-157.780229
OU,21.784567,-157.779971
OU,21.784411,-157.779842
OU,21.78316,-157.778816
OU,21.783003,-157.778688
OU,21.782689,-157.778434
OU,21.782531,-157.778307
OU,21.7819,-157.777801
OU,21.781742,-157.777675
OU,21.781426,-157.777424
OU,21.781267,-157.777299
OU,21.779995,-157.776303
OU,21.779836,-157.776179
OU,21.779516,-157.775931
OU,21.779356,-157.775808
OU,21.778715,-157.775317
OU,21.778555,-157.775195
OU,21.778233,-157.774952
OU,21.778072,-157.77483
OU,21.77678,-157.773864
OU,21.776618,-157.773744
OU,21.776294,-157.773504
OU,21.776131,-157.773384
OU,21.77548,-157.772909
OU,21.775317,-157.77279
OU,21.77499,-157.772554
OU,21.774827,-157.772437
OU,21.773515,-157.771501
OU,21.773351,-157.771384
OU,21.773022,-157.771152
OU,21.772857,-157.771037
OU,21.772197,-157.770576
OU,21.772031,-157.770462
OU,21.7717,-157.770234
OU,21.771534,-157.77012
OU,21.770204,-157.769215
OU,21.770037,-157.769102
OU,21.769704,-157.768878
OU,21.769536,-157.768766
OU,21.768867,-157.768321
OU,21.768695,-157.768208
OU,21.768608,-157.768126
OU,21.768461,-157.767985
OU,21.768166,-157.767706
OU,21.768018,-157.767566
OU,21.766768,-157.766443
OU,21.766554,-157.766233
OU,21.766187,-157.76589
OU,21.766007,-157.765715
OU,21.765904,-157.765615
OU,21.765311,-157.765062
OU,21.765093,-157.764861
OU,21.764767,-157.764559
OU,21.764664,-157.764465
OU,21.764522,-157.764338
OU,21.764402,-157.764234
OU,21.7642,-157.764057
OU,21.763806,-157.763713
OU,21.763571,-157.763508
OU,21.763411,-157.763369
OU,21.762862,-157.762908
OU,21.762639,-157.762712
OU,21.762269,-157.762355
OU,21.762037,-157.762155
OU,21.760768,-157.761067
OU,21.760614,-157.760936
OU,21.760305,-157.760674
OU,21.76015,-157.760543
OU,21.75953,-157.760023
OU,21.759374,-157.759893
OU,21.759063,-157.759635
OU,21.758907,-157.759506
OU,21.757655,-157.758481
OU,21.757499,-157.758353
OU,21.757185,-157.758098
OU,21.757027,-157.757971
OU,21.756396,-157.757466
OU,21.756238,-157.75734
OU,21.755921,-157.757089
OU,21.755763,-157.756964
OU,21.754491,-157.755968
OU,21.754331,-157.755843
OU,21.754012,-157.755596
OU,21.753852,-157.755473
OU,21.753211,-157.754982
OU,21.753051,-157.75486
OU,21.752729,-157.754617
OU,21.752568,-157.754495
OU,21.751276,-157.753529
OU,21.751114,-157.753409
OU,21.750789,-157.753169
OU,21.750627,-157.75305
OU,21.749976,-157.752574
OU,21.749813,-157.752456
OU,21.749486,-157.75222
OU,21.749323,-157.752102
OU,21.748011,-157.751167
OU,21.747847,-157.75105
OU,21.747518,-157.750818
OU,21.747353,-157.750702
OU,21.746693,-157.750242
OU,21.746527,-157.750128
OU,21.746196,-157.749899
OU,21.74603,-157.749786
OU,21.7447,-157.748881
OU,21.744533,-157.748768
OU,21.744199,-157.748544
OU,21.744032,-157.748432
OU,21.743363,-157.747988
OU,21.743195,-157.747877
OU,21.742859,-157.747656
OU,21.742691,-157.747547
OU,21.741301,-157.746646
OU,21.74105,-157.746485
OU,21.740631,-157.746217
OU,21.74038,-157.746057
OU,21.739625,-157.745579
OU,21.739377,-157.745424
OU,21.738966,-157.745167
OU,21.738732,-157.745021
OU,21.738597,-157.744939
OU,21.738369,-157.744799
OU,21.737926,-157.744529
OU,21.737661,-157.744369
OU,21.73688,-157.743899
OU,21.736619,-157.743743
OU,21.736184,-157.743485
OU,21.735923,-157.743331
OU,21.734496,-157.742496
OU,21.734323,-157.742395
OU,21.733977,-157.742194
OU,21.733803,-157.742095
OU,21.733108,-157.741698
OU,21.732933,-157.741599
OU,21.732585,-157.741403
OU,21.73241,-157.741305
OU,21.731011,-157.740528
OU,21.730836,-157.740431
OU,21.730485,-157.740239
OU,21.73031,-157.740143
OU,21.729606,-157.739763
OU,21.72943,-157.739668
OU,21.729078,-157.73948
OU,21.728901,-157.739387
OU,21.727487,-157.738642
OU,21.72731,-157.73855
OU,21.726955,-157.738366
OU,21.726778,-157.738274
OU,21.726067,-157.73791
OU,21.725889,-157.73782
OU,21.725532,-157.73764
OU,21.725354,-157.73755
OU,21.723925,-157.736839
OU,21.723746,-157.736751
OU,21.723387,-157.736575
OU,21.723208,-157.736488
OU,21.72249,-157.736141
OU,21.72231,-157.736054
OU,21.72195,-157.735883
OU,21.72177,-157.735798
OU,21.720326,-157.73512
OU,21.720146,-157.735036
OU,21.719784,-157.734869
OU,21.719603,-157.734785
OU,21.718878,-157.734455
OU,21.718696,-157.734373
OU,21.718333,-157.73421
OU,21.718151,-157.734129
OU,21.716694,-157.733485
OU,21.716512,-157.733405
OU,21.716147,-157.733246
OU,21.715964,-157.733168
OU,21.715232,-157.732854
OU,21.715049,-157.732776
OU,21.714683,-157.732622
OU,21.714499,-157.732545
OU,21.712984,-157.731917
OU,21.712711,-157.731805
OU,21.712256,-157.731619
OU,21.711982,-157.731508
OU,21.711162,-157.731179
OU,21.710894,-157.731072
OU,21.710449,-157.730896
OU,21.710196,-157.730797
OU,21.71005,-157.73074
OU,21.709801,-157.730644
OU,21.70932,-157.730461
OU,21.709032,-157.730352
OU,21.708185,-157.730034
OU,21.707903,-157.729929
OU,21.707433,-157.729756
OU,21.70715,-157.729653
OU,21.70561,-157.729095
OU,21.705423,-157.729028
OU,21.705049,-157.728896
OU,21.704862,-157.72883
OU,21.704112,-157.728568
OU,21.703925,-157.728503
OU,21.70355,-157.728375
OU,21.703362,-157.728311
OU,21.701858,-157.727806
OU,21.70167,-157.727743
OU,21.701293,-157.727619
OU,21.701105,-157.727558
OU,21.70035,-157.727314
OU,21.700162,-157.727253
OU,21.699784,-157.727134
OU,21.699595,-157.727074
OU,21.698081,-157.726604
OU,21.697892,-157.726546
OU,21.697513,-157.726431
OU,21.697323,-157.726374
OU,21.696564,-157.726148
OU,21.696374,-157.726092
OU,21.695993,-157.725981
OU,21.695803,-157.725926
OU,21.69428,-157.725491
OU,21.69409,-157.725438
OU,21.693708,-157.725331
OU,21.693518,-157.725279
OU,21.692754,-157.72507
OU,21.692563,-157.725019
OU,21.692321,-157.724961
OU,21.691673,-157.724186
OU,21.691438,-157.723905
OU,21.691047,-157.723437
OU,21.690811,-157.723158
OU,21.69013,-157.722357
OU,21.690037,-157.722247
OU,21.689851,-157.72203
OU,21.689757,-157.721921
OU,21.689341,-157.721438
OU,21.689088,-157.721147
OU,21.688467,-157.720438
OU,21.687874,-157.71976
OU,21.687729,-157.719596
OU,21.687438,-157.719267
OU,21.687292,-157.719103
OU,21.686201,-157.717886
OU,21.686065,-157.717734
OU,21.68579,-157.717431
OU,21.685653,-157.71728
OU,21.685487,-157.7171
OU,21.685373,-157.716972
OU,21.685236,-157.71682
OU,21.684962,-157.716517
OU,21.684824,-157.716366
OU,21.684272,-157.715764
OU,21.684134,-157.715614
OU,21.683857,-157.715314
OU,21.683718,-157.715165
OU,21.682602,-157.713974
OU,21.682462,-157.713825
OU,21.682182,-157.713529
OU,21.682041,-157.713381
OU,21.681477,-157.712792
OU,21.681336,-157.712645
OU,21.681053,-157.712352
OU,21.68091,-157.712206
OU,21.679771,-157.711041
OU,21.679628,-157.710896
OU,21.679342,-157.710606
OU,21.679198,-157.710462
OU,21.678623,-157.709886
OU,21.678478,-157.709742
OU,21.678189,-157.709456
OU,21.678044,-157.709314
OU,21.676881,-157.708175
OU,21.676735,-157.708034
OU,21.676443,-157.707751
OU,21.676296,-157.70761
OU,21.675709,-157.707048
OU,21.675562,-157.706907
OU,21.675267,-157.706628
OU,21.675119,-157.706489
OU,21.673896,-157.705344
OU,21.673675,-157.705138
OU,21.673306,-157.704796
OU,21.673084,-157.704591
OU,21.672417,-157.70398
OU,21.672198,-157.703781
OU,21.671833,-157.70345
OU,21.671624,-157.703261
OU,21.671505,-157.703155
OU,21.671305,-157.702976
OU,21.670914,-157.70263
OU,21.67068,-157.702424
OU,21.669988,-157.701817
OU,21.669756,-157.701615
OU,21.66937,-157.701281
OU,21.669138,-157.701081
OU,21.667869,-157.699993
OU,21.667715,-157.699862
OU,21.667406,-157.6996
OU,21.667252,-157.69947
OU,21.666631,-157.69895
OU,21.666476,-157.69882
OU,21.666164,-157.698562
OU,21.666008,-157.698434
OU,21.664756,-157.697408
OU,21.6646,-157.697281
OU,21.664285,-157.697026
OU,21.664128,-157.696899
OU,21.663497,-157.696394
OU,21.663364,-157.696288
OU,21.663074,-157.696058
OU,21.662958,-157.695966
OU,21.662833,-157.695866
OU,21.662319,-157.695457
OU,21.662152,-157.695325
OU,21.661873,-157.695104
OU,21.661693,-157.694963
OU,21.66149,-157.694793
OU,21.661316,-157.694648
OU,21.660577,-157.694033
OU,21.660315,-157.693817
OU,21.659879,-157.693458
OU,21.659616,-157.693244
OU,21.658528,-157.692362
OU,21.658398,-157.692257
OU,21.658137,-157.692048
OU,21.658007,-157.691943
OU,21.657484,-157.691527
OU,21.657353,-157.691423
OU,21.65709,-157.691217
OU,21.656959,-157.691114
OU,21.655906,-157.690291
OU,21.655774,-157.690189
OU,21.65551,-157.689985
OU,21.655377,-157.689883
OU,21.654847,-157.689477
OU,21.654715,-157.689375
OU,21.654449,-157.689174
OU,21.654315,-157.689073
OU,21.653253,-157.688275
OU,21.65312,-157.688175
OU,21.652854,-157.687977
OU,21.65272,-157.687878
OU,21.652186,-157.687484
OU,21.652052,-157.687386
OU,21.651784,-157.68719
OU,21.65165,-157.687093
OU,21.650574,-157.686315
OU,21.65044,-157.686218
OU,21.65017,-157.686025
OU,21.650035,-157.685929
OU,21.649494,-157.685545
OU,21.649359,-157.68545
OU,21.649087,-157.685259
OU,21.648951,-157.685164
OU,21.647863,-157.684407
OU,21.647727,-157.684313
OU,21.647454,-157.684125
OU,21.647317,-157.684031
OU,21.64677,-157.683658
OU,21.646633,-157.683565
OU,21.646358,-157.68338
OU,21.646221,-157.683288
OU,21.64512,-157.682552
OU,21.644007,-157.681838
OU,21.643698,-157.681633
OU,21.642589,-157.680909
OU,21.642455,-157.680821
OU,21.642318,-157.680733
OU,21.642005,-157.680533
OU,21.641712,-157.680348
OU,21.641565,-157.680254
OU,21.641268,-157.680069
OU,21.641046,-157.679933
OU,21.640467,-157.679582
OU,21.640299,-157.67948
OU,21.639994,-157.679295
OU,21.639825,-157.679194
OU,21.6392,-157.67879
OU,21.638843,-157.678572
OU,21.63845,-157.678337
OU,21.63745,-157.67774
OU,21.637335,-157.677672
OU,21.637056,-157.677507
OU,21.636498,-157.67718
OU,21.636163,-157.676985
OU,21.635154,-157.676403
OU,21.634817,-157.676211
OU,21.634523,-157.676069
OU,21.634444,-157.675795
OU,21.634193,-157.674743
OU,21.634109,-157.674393
OU,21.633966,-157.673809
OU,21.633879,-157.673458
OU,21.633601,-157.672352
OU,21.633483,-157.671888
OU,21.633304,-157.67119
OU,21.633184,-157.670731
OU,21.633083,-157.670348
OU,21.633013,-157.670081
OU,21.632896,-157.669648
OU,21.632826,-157.669388
OU,21.632614,-157.66861
OU,21.632542,-157.66835
OU,21.632422,-157.667918
OU,21.63235,-157.667659
OU,21.631947,-157.666235
OU,21.631898,-157.666063
OU,21.631799,-157.665718
OU,21.631749,-157.665546
OU,21.631548,-157.664858
OU,21.631498,-157.664686
OU,21.631396,-157.664342
OU,21.631344,-157.66417
OU,21.63093,-157.662798
OU,21.630878,-157.662627
OU,21.630773,-157.662284
OU,21.63072,-157.662113
OU,21.630507,-157.661429
OU,21.630453,-157.661258
OU,21.630345,-157.660916
OU,21.630291,-157.660745
OU,21.629839,-157.659339
OU,21.629757,-157.659085
OU,21.629619,-157.658661
OU,21.629536,-157.658407
OU,21.629284,-157.657646
OU,21.6292,-157.657395
OU,21.62906,-157.656977
OU,21.628977,-157.656732
OU,21.628928,-157.656588
OU,21.628841,-157.656334
OU,21.628667,-157.655834
OU,21.628563,-157.655534
OU,21.628249,-157.654643
OU,21.628143,-157.654346
OU,21.627966,-157.653853
OU,21.627859,-157.653557
OU,21.62727,-157.651936
OU,21.627198,-157.65174
OU,21.627053,-157.651348
OU,21.62698,-157.651153
OU,21.626686,-157.650371
OU,21.626612,-157.650175
OU,21.626463,-157.649785
OU,21.626388,-157.64959
OU,21.625784,-157.648033
OU,21.625708,-157.647839
OU,21.625555,-157.64745
OU,21.625478,-157.647256
OU,21.625168,-157.646481
OU,21.62509,-157.646288
OU,21.624933,-157.645901
OU,21.624854,-157.645708
OU,21.624219,-157.644166
OU,21.624139,-157.643973
OU,21.623978,-157.643588
OU,21.623897,-157.643396
OU,21.623571,-157.642629
OU,21.62349,-157.642437
OU,21.623325,-157.642054
OU,21.623242,-157.641863
OU,21.622575,-157.640336
OU,21.622491,-157.640145
OU,21.622323,-157.639764
OU,21.622238,-157.639574
OU,21.621896,-157.638814
OU,21.621811,-157.638624
OU,21.621638,-157.638246
OU,21.621551,-157.638056
OU,21.620853,-157.636545
OU,21.620766,-157.636356
OU,21.620589,-157.635979
OU,21.620501,-157.635791
OU,21.620144,-157.63504
OU,21.620054,-157.634852
OU,21.619874,-157.634477
OU,21.619784,-157.63429
OU,21.619055,-157.632795
OU,21.618963,-157.632609
OU,21.618779,-157.632236
OU,21.618687,-157.63205
OU,21.618315,-157.631307
OU,21.618221,-157.631122
OU,21.618034,-157.630751
OU,21.617939,-157.630566
OU,21.617157,-157.629043
OU,21.617014,-157.628768
OU,21.6168,-157.628356
OU,21.616658,-157.628086
OU,21.616373,-157.627547
OU,21.616231,-157.627283
OU,21.615951,-157.626773
OU,21.615689,-157.626305
OU,21.615508,-157.625963
OU,21.615329,-157.625628
OU,21.615047,-157.625102
OU,21.614939,-157.624901
OU,21.614762,-157.624575
OU,21.614412,-157.624023
OU,21.614262,-157.623719
OU,21.61401,-157.623273
OU,21.613919,-157.623105
OU,21.613738,-157.622769
OU,21.613638,-157.622585
OU,21.613112,-157.621657
OU,21.613012,-157.621485
OU,21.612809,-157.621141
OU,21.612707,-157.62097
OU,21.612481,-157.620589
OU,21.612403,-157.620458
OU,21.612282,-157.620263
OU,21.611877,-157.619616
OU,21.61167,-157.619286
OU,21.611293,-157.618617
OU,21.611058,-157.618217
OU,21.610188,-157.616773
OU,21.609745,-157.616056
OU,21.607846,-157.613053
OU,21.607727,-157.612866
OU,21.607487,-157.612492
OU,21.607367,-157.612305
OU,21.606884,-157.61156
OU,21.606763,-157.611375
OU,21.606519,-157.611004
OU,21.606397,-157.610819
OU,21.605415,-157.609342
OU,21.605291,-157.609157
OU,21.605044,-157.60879
OU,21.604919,-157.608606
OU,21.60442,-157.607874
OU,21.604295,-157.607691
OU,21.604043,-157.607326
OU,21.603917,-157.607145
OU,21.603791,-157.606965
OU,21.603675,-157.606799
OU,21.60348,-157.606523
OU,21.603364,-157.606357
OU,21.603012,-157.605862
OU,21.602895,-157.605697
OU,21.602699,-157.605423
OU,21.602581,-157.605258
