Lon,Lat
-154.185929731,23.683394311
-154.18798332,23.684519431
-154.190904566,23.686395611
-154.205821442,23.695913848
-154.220792008,23.705361878
-154.23581567,23.714739626
-154.25089213,23.72404665
-154.266020992,23.733282784
-154.28120186,23.742447768
-154.296434337,23.751541345
-154.311718128,23.760563345
-154.327052636,23.769513511
-154.342437664,23.778391584
-154.357872717,23.787197305
-154.373357399,23.795930415
-154.388891412,23.804590746
-154.404474162,23.813178039
-154.412469994,23.817545608
-154.427718519,23.825849812
-154.443398248,23.834290344
-154.459125623,23.842657245
-154.474900151,23.850950166
-154.490721534,23.859168938
-154.501068924,23.864490952
-154.506978676,23.867512807
-154.522892481,23.875582583
-154.538851852,23.883577614
-154.554856296,23.891497549
-154.570905513,23.899342313
-154.586999011,23.907111645
-154.588096583,23.907637846
-154.590845466,23.908958077
-154.606983143,23.916651697
-154.623164209,23.924269458
-154.639388365,23.931811282
-154.655655215,23.939276727
-154.671964165,23.946665716
-154.688315017,23.953978079
-154.704707078,23.961213648
-154.713964524,23.96525793
-154.722714887,23.969057861
-154.739188473,23.976139113
-154.755702079,23.983142881
-154.772255309,23.990069086
-154.788847765,23.996917469
-154.805478954,24.003687859
-154.822148478,24.010380088
-154.83556491,24.015691251
-154.838976695,24.017634745
-154.854487429,24.026369686
-154.870047693,24.035031789
-154.885656792,24.043620797
-154.90131443,24.052136632
-154.91702031,24.060578856
-154.932773937,24.068947481
-154.948574814,24.077242068
-154.964422645,24.08546254
-154.980316935,24.093608638
-154.996257387,24.101680013
-155.012243504,24.109676679
-155.028274891,24.117598286
-155.044351152,24.125444666
-155.060471792,24.13321556
-155.076636413,24.140910891
-155.092844621,24.148530218
-155.109096018,24.156073555
-155.120204378,24.161174482
-155.123375549,24.162657496
-155.13962863,24.170200898
-155.155924505,24.177668058
-155.172262677,24.185058718
-155.188642653,24.1923728
-155.205064134,24.199609862
-155.221526626,24.206770008
-155.238029731,24.213852798
-155.254572956,24.220858153
-155.271155903,24.227785904
-155.287778176,24.234635883
-155.30443928,24.241407829
-155.32113882,24.248101573
-155.337876299,24.254717036
-155.354651222,24.261253869
-155.371463292,24.267712082
-155.388312014,24.274091325
-155.405196991,24.280391519
-155.42211763,24.286612584
-155.439073633,24.292754169
-155.456064405,24.298816196
-155.47308965,24.304798584
-155.490148773,24.310701072
-155.507241476,24.316523491
-155.524367167,24.322265669
-155.541525547,24.327927618
-155.558715923,24.333508985
-155.575938097,24.339009691
-155.593191474,24.344429654
-155.610475559,24.349768614
-155.627790056,24.355026581
-155.645134369,24.360203292
-155.662508004,24.365298576
-155.679910564,24.370312442
-155.697341653,24.375244539
-155.714800677,24.380094965
-155.732287338,24.384863459
-155.749800943,24.38955003
-155.767341194,24.394154323
-155.784907598,24.398676348
-155.802499657,24.403116024
-155.820116878,24.407473086
-155.829391461,24.409720317
-155.843226515,24.419094592
-155.857952802,24.428966076
-155.872735057,24.438768764
-155.887572786,24.448502218
-155.902465789,24.458166272
-155.917413472,24.46776067
-155.932415638,24.477285246
-155.947471692,24.486739563
-155.962581436,24.496123547
-155.977744473,24.505436758
-155.99296021,24.514679123
-156.008228547,24.523850384
-156.02354889,24.532950105
-156.038920842,24.5419783
-156.054344108,24.550934531
-156.06981819,24.559818633
-156.085342792,24.568630441
-156.100917419,24.577369605
-156.116541774,24.586035961
-156.132215261,24.594629252
-156.147937684,24.603149221
-156.163708547,24.611595702
-156.179527354,24.619968437
-156.195393907,24.628267171
-156.211307513,24.636491735
-156.227268074,24.644641875
-156.243274894,24.652717422
-156.259327679,24.66071812
-156.27542603,24.668643711
-156.291569453,24.676494119
-156.30775765,24.684268997
-156.323990028,24.691968177
-156.340266289,24.699591492
-156.356585937,24.707138686
-156.372948577,24.71460959
-156.389353813,24.722003946
-156.405801247,24.729321679
-156.422290287,24.736562439
-156.438820633,24.74372615
-156.455391792,24.750812644
-156.472003268,24.757821572
-156.488654764,24.764752948
-156.505345784,24.771606422
-156.522075933,24.778381827
-156.538844714,24.785079085
-156.555651633,24.791697847
-156.572496294,24.798238126
-156.5893783,24.804699662
-156.606297155,24.811082288
-156.623252365,24.817385834
-156.640243633,24.823610132
-156.657270364,24.829754923
-156.674332161,24.835820218
-156.691428629,24.841805668
-156.708559174,24.847711285
-156.725723497,24.853536807
-156.742921005,24.859282067
-156.760151302,24.864946985
-156.777413991,24.870531392
-156.794708478,24.876035027
-156.812034465,24.8814579
-156.829391359,24.886799753
-156.846778763,24.892060504
-156.864196182,24.897239984
-156.881643219,24.902338113
-156.899119281,24.907354629
-156.91662397,24.912289452
-156.934156892,24.917142502
-156.951717451,24.921913609
-156.96930535,24.92660269
-156.986919896,24.931209485
-157.004560791,24.935734002
-157.022227442,24.940176071
-157.039919551,24.94453561
-157.057636425,24.948812447
-157.075377766,24.9530065
-157.093143079,24.957117598
-157.110931771,24.961145749
-157.128743444,24.96509078
-157.146577603,24.968952519
-157.164433754,24.972730974
-157.182311499,24.976425881
-157.200210344,24.980037339
-157.218129694,24.983565174
-157.236069252,24.987009214
-157.254028324,24.990369464
-157.272006614,24.993645842
-157.290003428,24.996838174
-157.308018568,24.999946377
-157.326051341,25.002970456
-157.34410125,25.005910238
-157.350394657,25.006904923
-157.363388702,25.014771309
-157.378714988,25.023946551
-157.394093479,25.033050343
-157.409523975,25.042082431
-157.425006081,25.051042649
-157.440539302,25.059930743
-157.45612324,25.068746367
-157.471757501,25.077489447
-157.487441687,25.086159637
-157.503175501,25.094756772
-157.51895835,25.103280687
-157.533989738,25.111306143
-157.537855411,25.113360247
-157.553735436,25.121736843
-157.565196942,25.127721045
-157.573687672,25.13213454
-157.589663289,25.140362857
-157.605686058,25.148516769
-157.621755385,25.15659611
-157.637870973,25.164600445
-157.654032424,25.172529788
-157.670239146,25.180383883
-157.68649084,25.188162385
-157.702787012,25.195865217
-157.719127264,25.203492124
-157.735511301,25.211042849
-157.751938429,25.218517316
-157.768408449,25.225915269
-157.784920866,25.233236452
-157.801475185,25.240480699
-157.818070911,25.247647842
-157.834707845,25.254737716
-157.851385294,25.261750064
-157.86810306,25.268684718
-157.88486045,25.275541513
-157.901657166,25.282320281
-157.918492812,25.289020764
-157.935366794,25.295642887
-157.943280209,25.29871621
-157.952421063,25.302241322
-157.969370528,25.308706038
-157.976170224,25.31127335
-157.987327916,25.31564104
-158.004242611,25.322184623
-158.02119485,25.328649433
-158.038184136,25.335035393
-158.055210074,25.341342156
-158.072272169,25.347569643
-158.089370024,25.353717596
-158.106503045,25.359786029
-158.123671033,25.365774593
-158.140873296,25.371683299
-158.158109537,25.37751189
-158.17537916,25.383260107
-158.192681769,25.388928053
-158.210016969,25.394515287
-158.227384165,25.400021912
-158.244782961,25.405447579
-158.26221296,25.410792298
-158.279673668,25.416055811
-158.297164489,25.421238038
-158.314685127,25.42633881
-158.332234988,25.431358047
-158.349813674,25.43629549
-158.367420692,25.441151149
-158.385055644,25.445924854
-158.402717936,25.450616345
-158.420407172,25.455225722
-158.438122857,25.459752633
-158.455864496,25.464197089
