Island,lon,lat
OUFI,-158.014,21.8462
OUFI,-158,21.8454
OUFI,-157.982,21.8387
OUFI,-157.972,21.8375
OUFI,-157.961,21.834
OUFI,-157.956,21.8311
OUFI,-157.93,21.8183
OUFI,-157.909,21.8135
OUFI,-157.898,21.8087
OUFI,-157.89,21.8083
OUFI,-157.883,21.8106
OUFI,-157.878,21.8113
OUFI,-157.872,21.8112
OUFI,-157.868,21.8094
OUFI,-157.863,21.8074
OUFI,-157.859,21.8042
OUFI,-157.854,21.8024
OUFI,-157.848,21.8005
OUFI,-157.843,21.7978
OUFI,-157.839,21.7932
OUFI,-157.836,21.7896
OUFI,-157.831,21.7884
OUFI,-157.826,21.7865
OUFI,-157.824,21.7814
OUFI,-157.82,21.7788
OUFI,-157.817,21.7742
OUFI,-157.812,21.7718
OUFI,-157.81,21.7669
OUFI,-157.811,21.762
OUFI,-157.811,21.757
OUFI,-157.812,21.7522
OUFI,-157.811,21.7476
OUFI,-157.809,21.7428
OUFI,-157.806,21.7379
OUFI,-157.803,21.7338
OUFI,-157.799,21.7282
OUFI,-157.799,21.7233
OUFI,-157.799,21.7187
OUFI,-157.797,21.7141
OUFI,-157.795,21.7099
OUFI,-157.793,21.7051
OUFI,-157.791,21.7002
OUFI,-157.789,21.6955
OUFI,-157.788,21.6905
OUFI,-157.787,21.6842
OUFI,-157.786,21.6794
OUFI,-157.781,21.6767
OUFI,-157.778,21.6726
OUFI,-157.776,21.6679
OUFI,-157.776,21.6631
OUFI,-157.775,21.6582
OUFI,-157.775,21.6527
OUFI,-157.778,21.6482
OUFI,-157.776,21.6437
OUFI,-157.772,21.6412
OUFI,-157.771,21.6365
OUFI,-157.774,21.6322
OUFI,-157.771,21.6269
OUFI,-157.766,21.6257
OUFI,-157.761,21.6268
OUFI,-157.756,21.6232
OUFI,-157.753,21.6184
OUFI,-157.748,21.6151
OUFI,-157.743,21.6134
OUFI,-157.74,21.6098
OUFI,-157.736,21.606
OUFI,-157.731,21.6052
OUFI,-157.726,21.606
OUFI,-157.726,21.6005
OUFI,-157.729,21.5961
OUFI,-157.731,21.5908
OUFI,-157.732,21.5861
OUFI,-157.733,21.5812
OUFI,-157.728,21.5823
OUFI,-157.725,21.5781
OUFI,-157.721,21.5809
OUFI,-157.719,21.5861
OUFI,-157.716,21.59
OUFI,-157.714,21.594
OUFI,-157.708,21.5949
OUFI,-157.703,21.5933
OUFI,-157.7,21.5892
OUFI,-157.697,21.5861
OUFI,-157.693,21.5827
OUFI,-157.69,21.5781
OUFI,-157.685,21.5758
OUFI,-157.683,21.5717
OUFI,-157.68,21.5672
OUFI,-157.675,21.5634
OUFI,-157.672,21.5669
OUFI,-157.67,21.5715
OUFI,-157.667,21.5748
OUFI,-157.661,21.5714
OUFI,-157.656,21.5678
OUFI,-157.652,21.56
OUFI,-157.652,21.5549
OUFI,-157.652,21.554
OUFI,-157.648,21.5512
OUFI,-157.644,21.5483
OUFI,-157.644,21.5434
OUFI,-157.647,21.5374
OUFI,-157.645,21.5331
OUFI,-157.641,21.5283
OUFI,-157.637,21.5261
OUFI,-157.633,21.5224
OUFI,-157.636,21.5181
OUFI,-157.637,21.5132
OUFI,-157.638,21.5086
OUFI,-157.632,21.5076
OUFI,-157.627,21.5084
OUFI,-157.626,21.501
OUFI,-157.626,21.4957
OUFI,-157.619,21.4937
OUFI,-157.614,21.4939
OUFI,-157.609,21.4913
OUFI,-157.603,21.4905
OUFI,-157.598,21.4911
OUFI,-157.592,21.4881
