lat,lon
21.3145,156.472
21.3105,156.466
21.3041,156.453
21.2997,156.449
21.2955,156.426
21.294,156.417
21.2901,156.403
21.2859,156.389
21.2772,156.362
21.2697,156.333
21.2683,156.313
21.2641,156.305
21.26,156.294
21.2488,156.28
21.2354,156.263
21.2301,156.25
21.2211,156.237
21.212,156.222
21.1934,156.198
21.1658,156.177
21.1435,156.167
21.1378,156.165
21.1132,156.164
21.0935,156.155
21.0876,156.139
21.0865,156.134
21.088,156.111
21.0818,156.099
21.0746,156.09
21.0612,156.083
21.0541,156.079
21.0442,156.083
21.0264,156.09
21.0194,156.09
20.9988,156.087
20.9948,156.085
20.9674,156.065
20.9586,156.056
20.9411,156.034
20.9372,156.028
20.9139,156.005
20.8992,155.997
20.908,155.998
20.9039,155.996
20.8954,155.991
20.8847,155.984
20.8517,155.973
20.8461,155.971
20.816,155.954
20.8117,155.952
20.8089,155.947
20.8071,155.942
20.8037,155.936
20.7989,155.933
20.7945,155.931
20.7908,155.926
20.7874,155.922
20.7827,155.917
20.78,155.911
20.7758,155.906
20.7687,155.903
20.7633,155.9
20.7582,155.896
20.7537,155.892
20.749,155.891
20.7443,155.891
20.7393,155.891
20.7346,155.892
20.7302,155.895
20.7262,155.899
20.7221,155.903
20.716,155.906
20.7121,155.909
20.7097,155.913
20.7106,155.918
20.7068,155.921
20.7007,155.923
20.6959,155.925
20.6941,155.929
20.6921,155.934
20.6869,155.937
20.6812,155.938
20.6764,155.939
20.6718,155.943
20.6698,155.949
20.6683,155.954
20.6647,155.957
20.661,155.962
20.6573,155.966
20.6542,155.97
20.6497,155.973
20.6466,155.978
20.642,155.981
20.6381,155.984
20.6347,155.99
20.6324,155.996
20.629,156.003
20.6262,156.007
20.623,156.012
20.6195,156.016
20.6157,156.02
20.613,156.024
20.6103,156.03
20.6083,156.034
20.606,156.04
20.6044,156.045
20.6025,156.052
20.6,156.058
20.5975,156.062
20.5948,156.066
20.5927,156.071
20.5901,156.076
20.5864,156.082
20.5843,156.087
20.5822,156.092
20.5801,156.099
20.5775,156.106
20.5735,156.113
20.5721,156.117
20.5721,156.124
20.5717,156.13
20.5708,156.135
20.5694,156.14
20.5665,156.146
20.5653,156.151
20.5644,156.156
20.561,156.161
20.5573,156.167
20.5543,156.17
20.551,156.174
20.5503,156.179
20.5511,156.185
20.5507,156.19
20.5475,156.194
20.5444,156.199
20.5428,156.203
20.5414,156.208
20.5402,156.214
20.5394,156.219
20.5373,156.223
20.5336,156.228
20.5308,156.232
20.528,156.236
20.527,156.237
20.5262,156.238
20.5235,156.243
20.521,156.248
20.5187,156.253
20.5158,156.258
20.5136,156.263
20.5112,156.268
20.5099,156.273
20.5084,156.278
20.5074,156.284
20.5057,156.288
20.5045,156.293
20.5036,156.298
20.5025,156.302
20.5011,156.307
20.4998,156.312
20.4993,156.317
20.4989,156.322
20.4984,156.327
20.4949,156.333
20.4917,156.337
20.4914,156.343
20.491,156.349
20.491,156.355
20.4929,156.36
20.4927,156.365
20.4912,156.371
20.4901,156.377
20.4874,156.381
20.4859,156.386
20.4817,156.388
20.4778,156.391
20.4768,156.396
20.4787,156.4
20.4823,156.405
20.487,156.409
20.4845,156.414
20.4834,156.421
20.4807,156.426
20.4775,156.432
20.4739,156.437
20.4715,156.443
20.471,156.449
20.4733,156.455
20.4746,156.461
20.4764,156.465
20.4805,156.468
20.4823,156.473
20.4776,156.477
20.4794,156.482
20.4769,156.487
20.4752,156.493
20.4738,156.499
20.4726,156.505
20.4704,156.512
20.4676,156.515
20.4643,156.523
20.4647,156.528
20.4635,156.534
20.4603,156.538
20.4571,156.542
20.456,156.547
20.4543,156.552
20.4544,156.557
20.4535,156.563
20.4533,156.569
20.4577,156.573
20.4623,156.576
20.4643,156.58
20.4609,156.585
20.457,156.587
20.4526,156.59
20.4493,156.595
20.4484,156.6
20.449,156.605
20.4506,156.61
20.4519,156.616
20.4499,156.62
20.4488,156.625
20.4484,156.63
20.4489,156.635
20.4496,156.64
20.4515,156.646
20.452,156.651
20.4508,156.656
20.4512,156.662
20.4524,156.666
20.4499,156.671
20.4527,156.675
20.4538,156.68
20.4516,156.685
20.448,156.69
20.4456,156.694
20.4436,156.702
20.4453,156.708
20.4433,156.715
20.4422,156.719
20.4427,156.724
20.4423,156.729
20.4421,156.735
20.4416,156.74
20.441,156.746
20.4407,156.751
20.4407,156.757
20.439,156.763
20.4364,156.768
20.4325,156.772
20.4297,156.776
20.4276,156.781
20.4252,156.786
20.4213,156.79
20.4142,156.792
20.4122,156.798
20.4126,156.804
20.4105,156.809
20.409,156.814
20.4047,156.819
20.401,156.823
20.3961,156.824
20.39,156.823
20.3844,156.827
20.3798,156.828
20.3751,156.829
20.3712,156.835
20.3714,156.842
20.3736,156.849
20.3743,156.855
20.3772,156.861
20.3794,156.866
20.3817,156.871
20.3836,156.877
20.3843,156.885
20.3851,156.892
20.3858,156.9
20.3879,156.907
20.3912,156.911
20.3945,156.916
20.3975,156.92
20.3999,156.924
20.3999,156.94
20.398,156.955
20.3956,156.966
20.395,156.985
20.3947,156.991
20.3964,156.998
20.4008,157.002
20.4059,157.006
20.4157,157.019
20.4182,157.025
20.4204,157.031
20.4228,157.037
20.4205,157.045
20.4142,157.052
20.4242,157.053
20.4339,157.054
20.4368,157.06
20.4353,157.065
20.4459,157.096
20.4482,157.103
20.4493,157.108
20.4538,157.108
20.4587,157.106
20.4631,157.109
20.4677,157.112
20.4714,157.117
20.475,157.122
20.4778,157.127
20.4798,157.133
20.476,157.138
20.4729,157.143
20.4779,157.146
20.492,157.144
20.5118,157.153
20.5204,157.151
20.5313,157.149
20.5413,157.152
20.5472,157.15
20.5639,157.157
20.58,157.146
20.5851,157.145
20.5966,157.141
20.6036,157.143
20.6091,157.145
20.6303,157.146
20.6416,157.147
20.6528,157.149
20.6638,157.149
20.6755,157.151
20.6806,157.152
20.6945,157.158
20.7064,157.158
20.7253,157.153
20.7305,157.151
20.738,157.143
20.7489,157.139
20.7544,157.139
20.7629,157.14
20.7685,157.138
20.7684,157.132
20.7642,157.13
20.749,157.128
20.7546,157.129
20.7557,157.124
20.7597,157.121
20.767,157.121
20.7727,157.121
20.7772,157.123
20.7824,157.124
20.7871,157.121
20.7923,157.125
20.7931,157.132
20.7979,157.134
20.8038,157.137
20.8087,157.138
20.8137,157.14
20.8175,157.144
20.8207,157.148
20.8225,157.153
20.8245,157.159
20.8271,157.164
20.8317,157.165
20.8344,157.16
20.839,157.159
20.8408,157.165
20.8385,157.171
20.8383,157.177
20.8395,157.182
20.8425,157.187
20.8479,157.187
20.8533,157.188
20.8561,157.184
20.8567,157.179
20.8563,157.171
20.8546,157.166
20.8529,157.16
20.8484,157.161
20.8438,157.159
20.848,157.156
20.853,157.158
20.8569,157.164
20.8596,157.168
20.8621,157.173
20.8637,157.175
20.8693,157.177
20.8671,157.187
20.8669,157.192
20.8694,157.201
20.8722,157.206
20.8769,157.207
20.8825,157.208
20.8845,157.203
20.8879,157.199
20.892,157.206
20.8956,157.203
20.8995,157.198
20.9024,157.204
20.9068,157.202
20.909,157.207
20.9119,157.212
20.9153,157.216
20.9191,157.219
20.925,157.222
20.9299,157.219
20.9346,157.219
20.9376,157.215
20.9407,157.208
20.9445,157.205
20.9461,157.199
20.9508,157.202
20.9509,157.208
20.9541,157.212
20.9593,157.213
20.9624,157.218
20.9634,157.223
20.9652,157.228
20.9684,157.232
20.9734,157.235
20.9757,157.24
20.9772,157.245
20.981,157.251
20.9856,157.253
20.9903,157.255
20.9903,157.262
20.9902,157.268
20.9908,157.273
20.9902,157.281
20.9882,157.286
20.9864,157.291
20.9845,157.297
20.9823,157.302
20.9803,157.306
20.9782,157.311
20.975,157.315
20.9706,157.32
20.9669,157.324
20.962,157.328
20.959,157.333
20.9565,157.337
20.9525,157.34
20.9495,157.344
20.9479,157.349
20.9454,157.354
20.9425,157.359
20.9397,157.363
20.9368,157.367
20.9369,157.373
20.9376,157.378
20.9378,157.384
20.9378,157.39
20.9378,157.395
20.9367,157.401
20.9355,157.406
20.9337,157.412
20.9339,157.417
20.9321,157.422
20.932,157.427
20.9332,157.432
20.9322,157.437
20.9299,157.442
20.9273,157.447
20.9264,157.452
20.9273,157.458
20.9266,157.463
20.9243,157.467
20.924,157.472
20.9238,157.477
20.9206,157.482
20.9177,157.486
20.9164,157.492
20.9154,157.498
20.9141,157.504
20.9123,157.509
20.912,157.515
